('B1: Trimmer posn.', 'trim1qp', '0.0000', '10.2375', 'V', 'on', 'PageA0')
('Interlock', 'intrlkq', '0.0000', '191.0000', 'units', 'ok', 'PageA2')
('Phase Loop Error 1', 'phserr1q', '0.0000', '0.0000', 'units', 'on', 'PageA2')
('Phase Loop Error 2', 'phserr2q', '0.0000', '0.0350', 'units', 'on', 'PageA2')
('Drive Cut 1', 'drvcut1q', '0.0000', '0.0000', 'units', 'off', 'PageA2')
('Drive Cut 2', 'drvcut2q', '0.0000', '0.0000', 'units', 'off', 'PageA2')
('Dbase row forSPC2 RF', 'dbrowq', '0.0000', '0.0000', 'units', 'UnInit', 'PageA2')
('SPC2 RF Power', 'rfpwrq', '0.0000', '0.0000', 'Watts', 'Tripped', 'PageA2')
('Debug Level', 'debuglvl', '100.0000', '100.0000', 'units', 'on', 'PageA2')
('Auto Trimmer Positn', 'autotrmq', '1.0000', '1.0000', 'units', 'on', 'PageA2')
('Enable DBM Level mod', 'dbmlvlq', '0.0000', '0.0000', 'units', 'off', 'PageA2')
('S value Power adjust', 'pwroptq', '0.0000', '0.0000', 'units', 'off', 'PageA2')
('Voltage dectection', 'voltoptq', '1.0000', '1.0000', 'units', 'on', 'PageA2')
('Min detector voltage', 'voltvalq', '0.1000', '0.1000', 'units', 'on', 'PageA2')
('DBM level 1', 'dbm1q', '0.0000', '0.0000', 'db', 'Unknown', 'PageA2')
('DBM level 2', 'dbm2q', '0.0000', '0.0000', 'db', 'Unknown', 'PageA2')
('S Level 1', 'slvl1q', '0.0000', '0.0000', 'sec', 'Unknown', 'PageA2')
('S Level 2', 'slvl2q', '0.0000', '0.0000', 'sec', 'Unknown', 'PageA2')
('T1: Dee volts ref.', 'deeref1q', '12610', '12610', 'volts', 'UnInit', 'PageA3')
('T2: Dee volts ref.', 'deeref2q', '12342', '12342', 'volts', 'UnInit', 'PageA3')
('Detector Voltage 1', 'detvlt1q', '0.0000', '0.0000', 'volts', 'on', 'PageA3')
('Detector Voltage 2', 'detvlt2q', '0.0000', '0.0350', 'volts', 'on', 'PageA3')
('Amplt Loop Error 1', 'amperr1q', '0.0000', '-0.6175', 'units', 'on', 'PageA3')
('Amplt Loop Error 2', 'amperr2q', '0.0000', '0.0000', 'units', 'on', 'PageA3')
('S Level 1', 'slvl1q', '0.0000', '0.0000', 'sec', 'Unknown', 'PageA3')
('S Level 2', 'slvl2q', '0.0000', '0.0000', 'sec', 'Unknown', 'PageA3')
('B1: Trimmer posn.', 'trim1qp', '0.0000', '10.2375', 'V', 'on', 'PageA3')
('B2: Trimmer posn.', 'trim2qp', '0.0000', '10.2375', 'V', 'on', 'PageA3')
('D1: Main bin delay', 'mnbn1qdl', '26.0000', '26.0000', 'units', 'UnInit', 'PageA3')
('E1: Main vern delay', 'mnvr1qdl', '93.0000', '93.0000', 'units', 'UnInit', 'PageA3')
('M1: Phase mod bin', 'phmd1qdl', '91.0000', '91.0000', 'units', 'UnInit', 'PageA3')
('D2: Main bin delay', 'mnbn2qdl', '36.0000', '36.0000', 'units', 'UnInit', 'PageA3')
('E2: Main vern. delay', 'mnvr2qdl', '160.0000', '160.0000', 'units', 'UnInit', 'PageA3')
('M2: Phase mod bin.', 'phmd2qdl', '86.0000', '86.0000', 'units', 'UnInit', 'PageA3')
('Phase Loop Error 1', 'phserr1q', '0.0000', '0.0000', 'units', 'on', 'PageA3')
('Phase Loop Error 2', 'phserr2q', '0.0000', '0.0350', 'units', 'on', 'PageA3')
('SPC2 RF Power', 'rfpwrq', '0.0000', '0.0000', 'Watts', 'Tripped', 'PageA3')
('SPC2 RF Control', 'rfcontq', '0.0000', '0.0000', 'units', 'UnInit', 'PageA3')
('Trimmer Warm pos 1', 'trim1qw', '0.0000', '0.0000', 'V', 'not def', 'PageA3')
('Trimmer Warm pos 2', 'trim2qw', '0.0000', '0.0000', 'V', 'not def', 'PageA3')
('Auto-Save interval', 'tmpfileq', '0.0000', '1.0000', 'units', 'Unknown', 'PageA3')
('T1: Dee volts ref.', 'deeref1q', '12610', '12610', 'volts', 'UnInit', 'PageA4')
('T2: Dee volts ref.', 'deeref2q', '12342', '12342', 'volts', 'UnInit', 'PageA4')
('Detector Voltage 1', 'detvlt1q', '0.0000', '0.0025', 'volts', 'on', 'PageA4')
('Detector Voltage 2', 'detvlt2q', '0.0000', '0.0350', 'volts', 'on', 'PageA4')
('Amplt Loop Error 1', 'amperr1q', '0.0000', '-0.6175', 'units', 'on', 'PageA4')
('Amplt Loop Error 2', 'amperr2q', '0.0000', '0.0000', 'units', 'on', 'PageA4')
('S Level 1', 'slvl1q', '0.0000', '0.0000', 'sec', 'Unknown', 'PageA4')
('S Level 2', 'slvl2q', '0.0000', '0.0000', 'sec', 'Unknown', 'PageA4')
('B1: Trimmer posn.', 'trim1qp', '0.0000', '10.2375', 'V', 'on', 'PageA4')
('B2: Trimmer posn.', 'trim2qp', '0.0000', '10.2375', 'V', 'on', 'PageA4')
('D1: Main bin delay', 'mnbn1qdl', '26.0000', '26.0000', 'units', 'UnInit', 'PageA4')
('E1: Main vern delay', 'mnvr1qdl', '93.0000', '93.0000', 'units', 'UnInit', 'PageA4')
('M1: Phase mod bin', 'phmd1qdl', '91.0000', '91.0000', 'units', 'UnInit', 'PageA4')
('D2: Main bin delay', 'mnbn2qdl', '36.0000', '36.0000', 'units', 'UnInit', 'PageA4')
('E2: Main vern. delay', 'mnvr2qdl', '160.0000', '160.0000', 'units', 'UnInit', 'PageA4')
('M2: Phase mod bin.', 'phmd2qdl', '86.0000', '86.0000', 'units', 'UnInit', 'PageA4')
('Phase Loop Error 1', 'phserr1q', '0.0000', '0.0000', 'units', 'on', 'PageA4')
('Phase Loop Error 2', 'phserr2q', '0.0000', '0.0350', 'units', 'on', 'PageA4')
('SPC2 RF Power', 'rfpwrq', '0.0000', '0.0000', 'Watts', 'Tripped', 'PageA4')
('SPC2 RF Control', 'rfcontq', '0.0000', '0.0000', 'units', 'UnInit', 'PageA4')
('Trimmer Warm pos 1', 'trim1qw', '0.0000', '0.0000', 'V', 'not def', 'PageA4')
('Trimmer Warm pos 2', 'trim2qw', '0.0000', '0.0000', 'V', 'not def', 'PageA4')
('SPC1 Short Cir Plt 1', 'rfscpzp1', '0.0000', '0.0000', 'enc', 'not def', 'PageA5')
('SPC1 Short Cir Plt 2', 'rfscpzp2', '0.0000', '0.0000', 'enc', 'not def', 'PageA5')
('SSC West St Cir Plt1', 'rfscpwo1', '0.0000', '0.0000', 'enc', 'not def', 'PageA5')
('SSC West St Cir Plt2', 'rfscpwo2', '0.0000', '0.0000', 'enc', 'not def', 'PageA5')
('SSC East St Cir Plt1', 'rfscpeo1', '0.0000', '0.0000', 'enc', 'not def', 'PageA5')
('SSC East St Cir Plt2', 'rfscpeo2', '0.0000', '0.0000', 'enc', 'not def', 'PageA5')
('Amplifier Tuning', 'amptuno', '170.0000', '170.0000', 'units', 'off', 'PageA5')
('SSC Phase', 'sscphaso', '-1.0000', '-1.0000', 'units', 'on', 'PageA5')
('Control - initializ', 'frconto', '0.0000', '1.0000', 'units', 'Init', 'PageA5')
('RF Vernier (Phase)', 'rfver0', '0.0000', '0.0000', 'bin', 'not def', 'PageA5')
('A1: SC plate pos', 'scp1op', '4300.0000', '4300.0000', 'units', 'ok', 'PageA6')
('C1: Coupler pos', 'cplr1op', '8.0000', '8.0200', 'units', 'ok', 'PageA6')
('B1: selctd Trimr pos', 'trim1op', '2.9200', '2.9450', 'units', 'ok', 'PageA6')
('RF1 trimmer 2 pos', 'trim21op', '2.8300', '2.9450', 'units', 'on', 'PageA6')
('O1: Trimmer Mode', 'trim1om', '0.0000', '66.0000', 'units', 'auto', 'PageA6')
('H1: Trimmer Speed', 'trim1os', '16.0000', '16.0000', 'units', 'ok', 'PageA6')
('RF1 Trimmer Select', 'trims1o', '2.0000', '2.0000', 'units', 'Motor2', 'PageA6')
('F1: Autotune bin del', 'tmbn1odl', '93.0000', '93.0000', 'units', 'on', 'PageA6')
('G1: Autotune ver del', 'tmvr1odl', '180.0000', '180.0000', 'units', 'on', 'PageA6')
('D1: Main bin delay', 'mnbn1odl', '95.0000', '95.0000', 'units', 'on', 'PageA6')
('E1: Main ver delay', 'mnvr1odl', '150.0000', '150.0000', 'units', 'on', 'PageA6')
('M1: Phase mod del', 'phmd1odl', '90.0000', '90.0000', 'units', 'on', 'PageA6')
('T1: Dee Volts ref', 'deeref1o', '223950', '223950', 'units', 'on', 'PageA6')
('I1: Ampl loop gain', 'ampgn1o', '20.0000', '20.0000', 'units', 'on', 'PageA6')
('J1: Amp loop freq', 'ampfq1o', '5.0000', '5.0000', 'units', 'on', 'PageA6')
('K1: Phase loop gain', 'phsgn1o', '30.0000', '30.0000', 'units', 'on', 'PageA6')
('L1: Phase loop freq', 'phsfq1o', '4.0000', '4.0000', 'units', 'on', 'PageA6')
('N1: Phase loop mode', 'phsmd1o', '0.0000', '0.0000', 'units', 'closed', 'PageA6')
('P1: DBM start level', 'dbmstr1o', '230.0000', '226.0000', 'units', 'on', 'PageA6')
('DBM 1 step size', 'dbmstp1o', '1.0000', '1.0000', 'units', 'on', 'PageA6')
('DBM 1 ramp time', 'dbmrmp1o', '100.0000', '100.0000', 'units', 'on', 'PageA6')
('Q1: S start level', 'sstrlv1o', '220.0000', '220.0000', 'units', 'on', 'PageA6')
('R1: S Interm level', 'sintlv1o', '100.0000', '100.0000', 'units', 'on', 'PageA6')
('S final level 1', 'sfinlv1o', '0.0000', '0.0000', 'units', 'not def', 'PageA6')
('S Ramp time 1', 'srmp1o', '20.0000', '20.0000', 'units', 'on', 'PageA6')
('Initial Delay 1', 'delrmp1o', '5.0000', '5.0000', 'units', 'on', 'PageA6')
('V1: Trip Level 1', 'trplv11o', '60.0000', '60.0000', 'units', 'on', 'PageA6')
('W1: Trip Level 2', 'trplv21o', '0.0000', '0.0000', 'units', 'on', 'PageA6')
('U1: Main caps', 'mncap1o', '8000.0000', '8000.0000', 'units', 'UnInit', 'PageA6')
('Drive power 1', 'drvcut1o', '0.0000', '0.0000', 'units', 'on', 'PageA6')
('DBM level 1', 'dbm1o', '202.0000', '0.0000', 'units', 'on', 'PageA6')
('S1: S Level', 'slvl1o', '152.0000', '152.0000', 'units', 'on', 'PageA6')
('A2: SC plate pos', 'scp2op', '4300.0000', '4300.0000', 'units', 'error', 'PageA7')
('C2: Coupler pos', 'cplr2op', '8.6000', '8.5625', 'units', 'ok', 'PageA7')
('B2: selctd Trimr pos', 'trim2op', '2.8400', '2.9450', 'units', 'ok', 'PageA7')
('RF2 trimmer 2 pos', 'trim22op', '2.8500', '2.8375', 'units', 'off', 'PageA7')
('O2: Trimmer Mode', 'trim2om', '0.0000', '131.0000', 'units', 'auto', 'PageA7')
('H2: Trimmer Speed', 'trim2os', '16.0000', '16.0000', 'units', 'ok', 'PageA7')
('RF2 Trimmer Select', 'trims2o', '1.0000', '1.0000', 'units', 'Motor1', 'PageA7')
('F2: Autotune bin del', 'tmbn2odl', '97.0000', '97.0000', 'units', 'on', 'PageA7')
('G2: Autotune ver del', 'tmvr2odl', '118.0000', '118.0000', 'units', 'on', 'PageA7')
('D2: Main bin delay', 'mnbn2odl', '96.0000', '96.0000', 'units', 'on', 'PageA7')
('E2: Main ver delay', 'mnvr2odl', '180.0000', '180.0000', 'units', 'on', 'PageA7')
('M2: Phase mod del', 'phmd2odl', '52.0000', '52.0000', 'units', 'on', 'PageA7')
('T2: Dee Volts ref', 'deeref2o', '260440', '260440', 'units', 'on', 'PageA7')
('I2: Ampl loop gain', 'ampgn2o', '30.0000', '30.0000', 'units', 'on', 'PageA7')
('J2: Amp loop freq', 'ampfq2o', '4.0000', '4.0000', 'units', 'on', 'PageA7')
('K2: Phase loop gain', 'phsgn2o', '30.0000', '30.0000', 'units', 'on', 'PageA7')
('L2: Phase loop freq', 'phsfq2o', '4.0000', '4.0000', 'units', 'on', 'PageA7')
('N2: Phase loop mode', 'phsmd2o', '0.0000', '0.0000', 'units', 'closed', 'PageA7')
('P2: DBM start level', 'dbmstr2o', '230.0000', '228.0000', 'units', 'on', 'PageA7')
('DBM 2 step size', 'dbmstp2o', '1.0000', '1.0000', 'units', 'on', 'PageA7')
('DBM 2 ramp time', 'dbmrmp2o', '100.0000', '100.0000', 'units', 'on', 'PageA7')
('Q2: S start level', 'sstrlv2o', '200.0000', '200.0000', 'units', 'on', 'PageA7')
('R2: S Interm level', 'sintlv2o', '90.0000', '90.0000', 'units', 'on', 'PageA7')
('S final level 2', 'sfinlv2o', '0.0000', '0.0000', 'units', 'not def', 'PageA7')
('S Ramp time 2', 'srmp2o', '20.0000', '20.0000', 'units', 'on', 'PageA7')
('Initial Delay 2', 'delrmp2o', '5.0000', '5.0000', 'units', 'on', 'PageA7')
('V2: Trip Level 1', 'trplv12o', '60.0000', '60.0000', 'units', 'on', 'PageA7')
('W2: Trip Level 2', 'trplv22o', '0.0000', '0.0000', 'units', 'on', 'PageA7')
('U2: Main caps', 'mncap2o', '7770.0000', '7770.0000', 'units', 'UnInit', 'PageA7')
('Drive power 2', 'drvcut2o', '0.0000', '0.0000', 'units', 'on', 'PageA7')
('DBM level 2', 'dbm2o', '176.0000', '0.0000', 'units', 'on', 'PageA7')
('S2: S Level', 'slvl2o', '190.0000', '190.0000', 'units', 'on', 'PageA7')
('Autotune phase 1', 'trmphs1o', '0.0000', '-0.0175', 'units', 'ok', 'PageA8')
('Detector voltage 1', 'detvlt1o', '0.0000', '6.9425', 'units', 'ok', 'PageA8')
('Amp loop error 1', 'amperr1o', '0.0000', '0.4125', 'units', 'ok', 'PageA8')
('Phase loop error 1', 'phserr1o', '0.0000', '5.2350', 'units', 'ok', 'PageA8')
('Forward power 1', 'forpwr1o', '0.0000', '0.0025', 'units', 'ok', 'PageA8')
('Reflected pwer 1', 'refpwr1o', '0.0000', '0.0025', 'units', 'ok', 'PageA8')
('Phase 1', 'phase1o', '0.0000', '0.5000', 'units', 'ok', 'PageA8')
('RF1 trimmer 2 pos', 'trim21op', '2.8300', '2.9450', 'units', 'on', 'PageA8')
('SC Plate 1 mot cur 1', 'scpcr11o', '0.0000', '-0.0075', 'units', 'ok', 'PageA8')
('SC Plate 2 mot cur 1', 'scpcr21o', '0.0000', '0.8625', 'units', 'ok', 'PageA8')
('Spare ADC channel 1', 'adcsp1o', '0.0000', '0.0025', 'units', 'ok', 'PageA8')
('Vacuum 1', 'vac1o', '0.0000', '-0.3025', 'units', 'ok', 'PageA8')
('DC Voltage 1', 'dcvolt1o', '0.0000', '0.0025', 'units', 'ok', 'PageA8')
('DC Current 1', 'dccur1o', '0.0000', '0.0025', 'units', 'ok', 'PageA8')
('Initial Delay 1', 'delrmp1o', '5.0000', '5.0000', 'units', 'on', 'PageA8')
('A1: SC plate pos', 'scp1op', '4300.0000', '4300.0000', 'units', 'ok', 'PageA8')
('Drive power 1', 'drvcut1o', '0.0000', '0.0000', 'units', 'on', 'PageA8')
('', 'trmmot1o', '0', '0', '', '0', 'PageA8')
('S Step size 1', 'sstp1o', '2.0000', '2.0000', 'units', 'on', 'PageA8')
('Interlock 1', 'intlk1o', '0.0000', '0.0000', 'units', 'ok', 'PageA8')
('RF1 Power', 'rfpwr1o', '0.0000', '4.0000', 'units', 'on', 'PageA8')
('Valid detector volta', 'voltvalo', '0.0000', '0.0000', 'units', 'on', 'PageA8')
('Debug level', 'debugo', '10.0000', '10.0000', 'units', 'on', 'PageA8')
('Trimmer auto pos opt', 'autotrmo', '1.0000', '1.0000', 'units', 'on', 'PageA8')
('DBM level adjust opt', 'dbmlvlo', '1.0000', '1.0000', 'units', 'on', 'PageA8')
('S level adjust opt', 'pwropto', '1.0000', '1.0000', 'units', 'on', 'PageA8')
('Test detector voltag', 'voltopto', '0.0000', '0.0000', 'units', 'off', 'PageA8')
('Database row', 'dbrowo', '3.0000', '3.0000', 'units', 'ok', 'PageA8')
('Power', 'rfpwro', '0.0000', '0.0000', 'units', 'Unknown', 'PageA8')
('Control - initializ', 'frconto', '0.0000', '1.0000', 'units', 'Init', 'PageA8')
('Temp File', 'tmpfileo', '10.0000', '10.0000', 'units', 'go', 'PageA8')
('Warm Ramp Intvl 1', 'wrmrmp1o', '10.0000', '10.0000', 'units', 'on', 'PageA8')
('Autotune phase 2', 'trmphs2o', '0.0000', '0.0250', 'units', 'ok', 'PageA9')
('Detector voltage 2', 'detvlt2o', '0.0000', '8.1500', 'units', 'ok', 'PageA9')
('Amp loop error 2', 'amperr2o', '0.0000', '0.0800', 'units', 'ok', 'PageA9')
('Phase loop error 2', 'phserr2o', '0.0000', '4.8925', 'units', 'ok', 'PageA9')
('Forward power 2', 'forpwr2o', '0.0000', '0.0125', 'units', 'ok', 'PageA9')
('Reflected pwer 2', 'refpwr2o', '0.0000', '0.0100', 'units', 'ok', 'PageA9')
('phase 2 (ssc)', 'phase2o', '0.0000', '0.1375', 'units', 'ok', 'PageA9')
('SC Plate 1 mot cur 2', 'scpcr12o', '0.0000', '0.0450', 'units', 'ok', 'PageA9')
('SC Plate 2 mot cur 2', 'scpcr22o', '0.0000', '0.4150', 'units', 'ok', 'PageA9')
('Spare ADC channel 2', 'adcsp2o', '0.0000', '0.0100', 'units', 'ok', 'PageA9')
('Vacuum 2', 'vac2o', '0.0000', '-0.0575', 'units', 'ok', 'PageA9')
('DC Voltage 2', 'dcvolt2o', '0.0000', '0.0100', 'units', 'ok', 'PageA9')
('DC Current 2', 'dccur2o', '0.0000', '0.0125', 'units', 'ok', 'PageA9')
('Initial Delay 2', 'delrmp2o', '5.0000', '5.0000', 'units', 'on', 'PageA9')
('A2: SC plate pos', 'scp2op', '4300.0000', '4300.0000', 'units', 'error', 'PageA9')
('Drive power 2', 'drvcut2o', '0.0000', '0.0000', 'units', 'on', 'PageA9')
('', 'trmmot2o', '0', '0', '', '0', 'PageA9')
('S Step size 2', 'sstp2o', '2.0000', '2.0000', 'units', 'on', 'PageA9')
('Interlock 2', 'intlk2o', '0.0000', '0.0000', 'units', 'ok', 'PageA9')
('RF2 Power', 'rfpwr2o', '0.0000', '4.0000', 'units', 'on', 'PageA9')
('Warm Ramp Intvl 2', 'wrmrmp2o', '10.0000', '10.0000', 'units', 'on', 'PageA9')
('SSC Main Sec Mag Sum', 'smsm1oi', '875.4000', '862.9282', 'A', '+on', 'PageD0')
('Add Coil Sector 1', 'sm1aoi', '-131.8000', '-132.5246', 'A', '-on', 'PageD0')
('Add Coil Sector 2', 'sm2aoi', '-138.2000', '-139.9313', 'A', '-on', 'PageD0')
('Add Coil Sector 3', 'sm3aoi', '-135.3000', '-136.7727', 'A', '-on', 'PageD0')
('Add Coil Sector 4', 'sm4aoi', '-134.6000', '-136.5164', 'A', '-on', 'PageD0')
('Trim Coil 1 Sector 2', 'sm2t1oi', '-188.4000', '-186.3279', 'A', '-on', 'PageD0')
('Trim Coil 1 Sector 3', 'sm3t1oi', '-190.1000', '0.0000', 'A', '+off', 'PageD0')
('Trim Coil 1 Sector 4', 'sm4t1oi', '-170.4000', '-170.0160', 'A', '-on', 'PageD0')
('Trim Coil 2 Sector 2', 'sm2t2oi', '13.5000', '15.4726', 'A', '+on', 'PageD0')
('Trim Coil 2 Sector 3', 'sm3t2oi', '12.7000', '12.9091', 'A', '+on', 'PageD0')
('Trim Coil 2 Sector 4', 'sm4t2oi', '9.3000', '9.9107', 'A', '+on', 'PageD0')
('Trim Coil 3 Sector 1', 'sm1t3oi', '-19.8000', '-19.5239', 'A', '-on', 'PageD0')
('Trim Coil 3 Sector 2', 'sm2t3oi', '-16.1000', '-16.1364', 'A', '-on', 'PageD0')
('Trim Coil 3 Sector 3', 'sm3t3oi', '-15.0000', '-15.6634', 'A', '-on', 'PageD0')
('Trim Coil 3 Sector 4', 'sm4t3oi', '-12.4000', '-12.2988', 'A', '-on', 'PageD0')
('Trim Coil 4 All', 'smst4oi', '0.1000', '0.2060', 'A', '+on', 'PageD0')
('SSC/SPC1/2 MainSpare', 'smsm2oi', '0.0000', '0.0000', 'A', '-off', 'PageD0')
('', 'blank1', '0', '0', '', '0', 'PageD1')
('', 'blank2', '0', '0', '', '0', 'PageD1')
('Trim Coil 5&6 Sctr 1', 'sm1t5oi', '39.1000', '38.6435', 'A', '+on', 'PageD1')
('Trim Coil 5&6 Sctr 2', 'sm2t5oi', '40.5000', '40.5432', 'A', '+on', 'PageD1')
('Trim Coil 5&6 Sctr 3', 'sm3t5oi', '44.3000', '45.0141', 'A', '+on', 'PageD1')
('Trim Coil 5&6 Sctr 4', 'sm4t5oi', '41.6000', '41.2451', 'A', '+on', 'PageD1')
('Trim Coil  7&8 All', 'smst7oi', '40.9000', '41.0239', 'A', '+on', 'PageD1')
('Trim Coil  9&10 All', 'smst9oi', '50.0000', '50.0649', 'A', '+on', 'PageD1')
('Trim Coil  11&12 All', 'smst11oi', '37.0000', '37.0336', 'A', '+on', 'PageD1')
('Trim Coil  13  All', 'smst13oi', '46.7000', '46.9291', 'A', '+on', 'PageD1')
('Trim Coil  14  All', 'smst14oi', '55.3000', '55.5505', 'A', '+on', 'PageD1')
